name,gender,species,year,county,count
ADRIAN,M,human,2010,Bronx,62
ADRIAN,M,human,2010,Kings,60
ADRIAN,M,human,2010,New York,29
ADRIAN,M,human,2010,Queens,76
ADRIAN,M,human,2010,Richmond,14
ADRIAN,M,human,2011,Bronx,73
ADRIAN,M,human,2011,Kings,56
ADRIAN,M,human,2011,New York,37
ADRIAN,M,human,2011,Queens,68
ADRIAN,M,human,2012,Bronx,78
ADRIAN,M,human,2012,Kings,62
ADRIAN,M,human,2012,New York,25
ADRIAN,M,human,2012,Queens,77
ADRIAN,M,human,2013,Bronx,59
ADRIAN,M,human,2013,Kings,58
ADRIAN,M,human,2013,New York,24
ADRIAN,M,human,2013,Queens,65
ADRIAN,M,human,2013,Richmond,11
ADRIAN,M,human,2014,Bronx,68
ADRIAN,M,human,2014,Kings,59
ADRIAN,M,human,2014,New York,25
ADRIAN,M,human,2014,Queens,61
ADRIAN,M,human,2014,Richmond,12
ADRIAN,M,human,2015,Bronx,63
ADRIAN,M,human,2015,Kings,70
ADRIAN,M,human,2015,New York,25
ADRIAN,M,human,2015,Queens,70
ADRIANA,F,human,2007,Bronx,24
ADRIANA,F,human,2007,Kings,20
ADRIANA,F,human,2007,New York,13
ADRIANA,F,human,2007,Queens,22
ADRIANA,F,human,2008,Bronx,25
ADRIANA,F,human,2008,Kings,28
ADRIANA,F,human,2008,Queens,26
ADRIANA,F,human,2008,Richmond,11
ADRIANA,F,human,2009,Bronx,21
ADRIANA,F,human,2009,Kings,20
ADRIANA,F,human,2009,New York,18
ADRIANA,F,human,2009,Queens,34
ADRIANA,F,human,2009,Richmond,12
ADRIANA,F,human,2010,Bronx,23
ADRIANA,F,human,2010,Kings,24
ADRIANA,F,human,2010,Queens,24
ADRIANA,F,human,2011,Bronx,17
ADRIANA,F,human,2011,Kings,29
ADRIANA,F,human,2011,New York,12
ADRIANA,F,human,2011,Queens,36
ADRIANA,F,human,2011,Richmond,16
ADRIANA,F,human,2012,Bronx,22
ADRIANA,F,human,2012,Kings,30
ADRIANA,F,human,2012,New York,15
ADRIANA,F,human,2012,Queens,35
ADRIANA,F,human,2012,Richmond,13
ADRIANA,F,human,2013,Bronx,12
ADRIANA,F,human,2013,Kings,18
ADRIANA,F,human,2013,Queens,29
ADRIANA,F,human,2014,Bronx,16
ADRIANA,F,human,2014,Kings,17
ADRIANA,F,human,2014,New York,11
ADRIANA,F,human,2014,Queens,19
ADRIANA,F,human,2014,Richmond,8
ADRIANA,F,human,2015,Bronx,16
ADRIANA,F,human,2015,Kings,27
ADRIANA,F,human,2015,New York,10
ADRIANA,F,human,2015,Queens,28
ADRIANA,F,human,2015,Richmond,12
ADRIANNA,F,human,2007,Bronx,13
ADRIANNA,F,human,2007,Kings,12
ADRIANNA,F,human,2007,Queens,17
ADRIANNA,F,human,2008,Kings,19
ADRIANNA,F,human,2008,Richmond,10
ADRIANNA,F,human,2009,Bronx,15
ADRIANNA,F,human,2009,Kings,13
ADRIANNA,F,human,2009,Queens,15
ADRIANNA,F,human,2010,Bronx,10
ADRIANNA,F,human,2010,Kings,15
ADRIANNA,F,human,2010,New York,12
ADRIANNA,F,human,2010,Queens,17
ADRIANNA,F,human,2010,Richmond,13
ADRIANNA,F,human,2011,Bronx,13
ADRIANNA,F,human,2011,Kings,15
ADRIANNA,F,human,2011,Queens,14
ADRIANNA,F,human,2011,Richmond,13
ADRIANNA,F,human,2012,Bronx,12
ADRIANNA,F,human,2012,Kings,17
